SettlementPoint,Average Price,Month,Year
LZ_NORTH,18.830513888888877,November,2016
LZ_NORTH,22.263166666666674,November,2017
LZ_NORTH,31.97412499999999,November,2018
LZ_NORTH,24.153611111111104,November,2019
LZ_NORTH,24.532661290322583,October,2016
LZ_NORTH,21.938427419354845,October,2017
LZ_NORTH,31.64541666666666,October,2018
LZ_NORTH,28.732943548387126,October,2019
LZ_NORTH,26.605861111111107,September,2016
LZ_NORTH,23.968402777777758,September,2017
LZ_NORTH,27.885847222222214,September,2018
LZ_NORTH,80.7741527777778,September,2019
LZ_RAYBN,18.855361111111097,April,2016
LZ_RAYBN,22.21343055555554,April,2017
LZ_RAYBN,27.19887500000002,April,2018
LZ_RAYBN,24.998305555555564,April,2019
LZ_RAYBN,30.149758064516142,August,2016
LZ_RAYBN,26.824825268817232,August,2017
LZ_RAYBN,32.51872311827957,August,2018
LZ_RAYBN,126.89788978494644,August,2019
LZ_RAYBN,25.31955645161287,December,2016
LZ_RAYBN,21.31260752688172,December,2017
LZ_RAYBN,31.55353494623656,December,2018
LZ_RAYBN,19.08506720430106,December,2019
LZ_RAYBN,15.400431034482773,February,2016
LZ_RAYBN,20.36915178571431,February,2017
LZ_RAYBN,22.403169642857126,February,2018
LZ_RAYBN,21.066279761904763,February,2019
LZ_RAYBN,19.447943548387116,January,2016
LZ_RAYBN,23.39010752688172,January,2017
LZ_RAYBN,39.37014784946231,January,2018
LZ_RAYBN,24.411491935483873,January,2019
LZ_RAYBN,27.471075268817224,July,2016
LZ_RAYBN,30.760497311827933,July,2017
LZ_RAYBN,84.90190860215051,July,2018
LZ_RAYBN,30.02971774193554,July,2019
LZ_RAYBN,23.315944444444447,June,2016
LZ_RAYBN,26.125041666666643,June,2017
LZ_RAYBN,31.945583333333342,June,2018
LZ_RAYBN,25.458513888888895,June,2019
LZ_RAYBN,17.11724091520861,March,2016
LZ_RAYBN,21.90716016150739,March,2017
LZ_RAYBN,23.805706594885592,March,2018
LZ_RAYBN,29.809798115747,March,2019
LZ_RAYBN,18.320994623655913,May,2016
LZ_RAYBN,24.001330645161307,May,2017
LZ_RAYBN,40.951250000000016,May,2018
LZ_RAYBN,24.788158602150553,May,2019
LZ_RAYBN,18.87531944444443,November,2016
LZ_RAYBN,21.82918055555556,November,2017
LZ_RAYBN,33.45244444444446,November,2018
LZ_RAYBN,24.517569444444426,November,2019
LZ_RAYBN,24.452513440860198,October,2016
LZ_RAYBN,21.379932795698938,October,2017
LZ_RAYBN,30.624959677419376,October,2018
LZ_RAYBN,28.554381720430126,October,2019
LZ_RAYBN,26.470263888888894,September,2016
LZ_RAYBN,23.535680555555558,September,2017
LZ_RAYBN,27.680888888888877,September,2018
LZ_RAYBN,80.69863888888884,September,2019
LZ_SOUTH,20.73800000000002,April,2016
LZ_SOUTH,28.549888888888887,April,2017
LZ_SOUTH,28.186972222222227,April,2018
LZ_SOUTH,27.14783333333334,April,2019
LZ_SOUTH,31.82330645161287,August,2016
LZ_SOUTH,33.45784946236564,August,2017
LZ_SOUTH,33.690631720430126,August,2018
LZ_SOUTH,127.1090188172042,August,2019
LZ_SOUTH,26.32684139784947,December,2016
LZ_SOUTH,25.40422043010751,December,2017
LZ_SOUTH,32.11272849462366,December,2018
LZ_SOUTH,19.786881720430113,December,2019
LZ_SOUTH,15.935862068965523,February,2016
LZ_SOUTH,21.793690476190488,February,2017
LZ_SOUTH,25.197038690476194,February,2018
LZ_SOUTH,23.72895833333334,February,2019
LZ_SOUTH,19.48172043010753,January,2016
LZ_SOUTH,25.15548387096773,January,2017
LZ_SOUTH,46.13256720430113,January,2018
LZ_SOUTH,27.057903225806513,January,2019
LZ_SOUTH,28.88958333333334,July,2016
LZ_SOUTH,34.19329301075271,July,2017
LZ_SOUTH,80.44756720430111,July,2018
LZ_SOUTH,31.13216397849467,July,2019
LZ_SOUTH,27.47165277777775,June,2016
LZ_SOUTH,36.783444444444456,June,2017
LZ_SOUTH,32.258680555555515,June,2018
LZ_SOUTH,27.259597222222187,June,2019
LZ_SOUTH,19.521144010767156,March,2016
LZ_SOUTH,26.528209959623116,March,2017
LZ_SOUTH,26.759973082099577,March,2018
LZ_SOUTH,30.529488559892318,March,2019
LZ_SOUTH,20.69174731182796,May,2016
LZ_SOUTH,29.979731182795668,May,2017
LZ_SOUTH,41.27442204301073,May,2018
LZ_SOUTH,27.210994623655925,May,2019
LZ_SOUTH,20.633388888888888,November,2016
LZ_SOUTH,27.86572222222222,November,2017
LZ_SOUTH,33.54448611111104,November,2018
LZ_SOUTH,25.80370833333333,November,2019
LZ_SOUTH,30.03103494623656,October,2016
LZ_SOUTH,28.464018817204334,October,2017
LZ_SOUTH,32.12697580645161,October,2018
